id,Leave_Next_Month,Gender,Pensioner,Married,Children,Months_with_company,Phone_Service,Multiple_Lines,Internet_Service,Online_Security,Online_Backup,Device_Protection,Tech_Support,Streaming_TV,Streaming_Movies,Type_contract,Paperless_Billing,Payment_Method,Monthly_Payment,Total_Payment
324,0,F,0,N,N,12,Y,N,N,No_internet,No_internet,No_internet,No_internet,No_internet,No_internet,Year-1,Y,Bank_transfer_auto,19.35,219.35
326,0,F,0,Y,Y,31,Y,N,DSL,Y,N,Y,Y,Y,Y,Year-1,Y,Check_mailed,81.15,2545.75
327,1,F,0,Y,N,1,Y,N,DSL,N,N,N,N,Y,N,Per_month,N,Check_mailed,55.2,55.2
329,0,F,0,Y,Y,47,Y,Y,DSL,Y,Y,N,Y,Y,Y,Year-2,Y,Credit_card_auto,85.3,4107.25
330,0,M,0,N,N,54,Y,Y,Fiber optic,Y,Y,N,Y,Y,Y,Year-2,Y,Credit_card_auto,108.0,5760.65
331,0,M,0,N,N,50,Y,N,Fiber optic,Y,Y,N,Y,N,Y,Per_month,Y,Credit_card_auto,93.5,4747.5
332,1,M,0,N,N,1,Y,N,Fiber optic,Y,N,N,N,N,Y,Per_month,Y,Check_mailed,84.6,84.6
333,0,F,0,N,N,72,Y,N,N,No_internet,No_internet,No_internet,No_internet,No_internet,No_internet,Year-2,N,Credit_card_auto,20.25,1566.9
336,0,F,0,N,N,10,N,No_phone,DSL,N,N,N,Y,N,N,Year-2,Y,Check_mailed,29.6,299.05
339,0,M,0,N,N,16,Y,N,N,No_internet,No_internet,No_internet,No_internet,No_internet,No_internet,Year-2,N,Check_mailed,19.75,284.35
340,0,F,0,N,N,72,Y,Y,DSL,N,Y,Y,Y,Y,Y,Year-2,N,Bank_transfer_auto,86.6,6350.5
341,0,M,0,N,N,72,Y,Y,Fiber optic,N,Y,Y,Y,Y,Y,Year-2,N,Bank_transfer_auto,109.2,7878.3
342,0,F,0,Y,Y,41,Y,N,DSL,Y,N,N,Y,Y,Y,Year-1,Y,Credit_card_auto,74.7,3187.65
343,0,F,1,Y,N,65,Y,N,Fiber optic,Y,Y,Y,N,N,Y,Per_month,N,Check_electron,94.4,6126.15
344,0,F,1,N,N,13,Y,N,DSL,N,Y,Y,N,N,N,Per_month,Y,Check_electron,54.8,731.3
345,0,M,1,N,N,4,Y,N,Fiber optic,Y,N,N,N,N,N,Per_month,N,Check_electron,75.35,273.4
346,0,M,0,N,N,41,Y,Y,DSL,N,N,Y,N,N,Y,Year-1,N,Check_mailed,65.0,2531.8
347,1,M,1,N,N,15,Y,N,Fiber optic,N,Y,N,N,N,N,Per_month,Y,Check_electron,74.4,1074.3
349,0,M,0,N,N,42,Y,Y,Fiber optic,Y,Y,Y,N,N,Y,Year-1,Y,Check_electron,99.0,4298.45
350,0,F,0,Y,N,51,Y,N,Fiber optic,Y,Y,Y,N,Y,N,Year-1,Y,Check_electron,93.5,4619.55
352,1,M,1,Y,N,1,N,No_phone,DSL,N,Y,N,N,Y,N,Per_month,N,Check_electron,40.2,40.2
353,0,M,0,N,Y,32,Y,Y,DSL,N,Y,Y,Y,Y,Y,Year-1,N,Credit_card_auto,83.7,2633.3
355,0,F,0,Y,Y,67,N,No_phone,DSL,N,Y,Y,Y,Y,Y,Year-2,Y,Check_electron,59.55,4103.9
358,1,F,0,Y,N,2,Y,N,DSL,N,N,N,N,N,N,Per_month,Y,Credit_card_auto,44.6,80.55
359,0,F,1,Y,N,29,N,No_phone,DSL,Y,N,Y,N,N,Y,Per_month,Y,Check_electron,45.0,1228.65
362,0,M,1,Y,N,57,Y,Y,Fiber optic,N,Y,N,N,N,Y,Per_month,Y,Check_electron,89.85,4925.35
364,0,F,0,Y,N,45,Y,Y,Fiber optic,Y,Y,Y,Y,Y,Y,Year-1,N,Check_mailed,113.3,5032.25
367,0,F,1,N,N,19,Y,N,Fiber optic,Y,Y,N,Y,Y,Y,Per_month,Y,Check_mailed,105.0,2007.25
368,1,M,0,N,N,59,Y,N,N,No_internet,No_internet,No_internet,No_internet,No_internet,No_internet,Year-2,N,Check_mailed,19.35,1099.6
370,1,F,1,N,N,16,Y,N,Fiber optic,N,N,N,Y,Y,Y,Per_month,Y,Check_electron,94.45,1511.2
371,0,M,0,Y,N,57,Y,N,DSL,Y,Y,N,Y,N,N,Year-2,Y,Check_electron,59.75,3450.15
373,0,M,1,Y,N,20,Y,Y,Fiber optic,N,Y,N,Y,Y,Y,Per_month,N,Check_electron,107.05,2172.05
376,1,F,0,Y,N,52,Y,Y,Fiber optic,N,Y,Y,N,Y,Y,Per_month,Y,Check_electron,105.05,5624.85
377,0,M,1,Y,N,21,Y,N,DSL,Y,Y,N,N,N,Y,Per_month,Y,Bank_transfer_auto,64.95,1339.8
378,0,M,0,N,N,14,N,No_phone,DSL,N,N,Y,Y,Y,Y,Per_month,Y,Check_electron,55.0,771.95
379,0,F,0,N,N,5,Y,N,DSL,N,Y,N,N,N,N,Per_month,N,Bank_transfer_auto,50.55,244.75
380,0,F,0,N,N,6,Y,N,DSL,Y,Y,N,N,N,N,Per_month,N,Check_mailed,55.15,322.9
381,0,F,0,N,N,10,Y,N,DSL,N,Y,N,N,N,N,Per_month,N,Check_electron,51.2,498.25
384,1,M,0,Y,Y,18,Y,N,Fiber optic,N,N,Y,N,Y,Y,Per_month,N,Check_mailed,95.15,1779.95
385,0,F,0,N,N,22,Y,Y,Fiber optic,N,N,N,N,N,N,Year-1,Y,Credit_card_auto,76.0,1783.6
386,0,F,0,N,N,20,Y,N,DSL,N,N,N,N,N,N,Per_month,Y,Check_electron,44.35,927.15
389,1,M,0,N,N,10,Y,N,DSL,N,N,N,N,N,N,Per_month,Y,Credit_card_auto,44.85,435.4
391,0,M,0,N,N,35,Y,N,DSL,Y,Y,Y,N,N,N,Year-1,N,Check_mailed,61.2,2021.2
392,0,M,0,Y,Y,23,Y,N,Fiber optic,N,Y,Y,Y,N,N,Year-1,N,Check_mailed,86.8,1940.8
395,0,M,0,N,N,1,Y,N,N,No_internet,No_internet,No_internet,No_internet,No_internet,No_internet,Per_month,N,Check_mailed,20.25,20.25
396,0,F,0,Y,Y,71,Y,N,Fiber optic,N,N,Y,N,N,N,Year-2,N,Check_electron,76.05,5436.45
397,0,M,1,Y,N,35,Y,Y,Fiber optic,N,N,Y,N,Y,Y,Per_month,Y,Check_electron,100.8,3437.5
401,1,F,1,N,N,4,Y,Y,Fiber optic,N,N,N,N,Y,Y,Per_month,Y,Check_electron,95.45,396.1
406,1,M,1,Y,N,32,Y,Y,Fiber optic,N,N,N,N,N,N,Per_month,Y,Check_electron,74.9,2303.35
409,0,M,0,N,Y,48,Y,Y,DSL,Y,N,Y,N,Y,Y,Year-1,Y,Credit_card_auto,78.75,3682.45
411,0,F,0,N,N,22,Y,N,Fiber optic,Y,N,N,Y,N,Y,Per_month,Y,Check_electron,89.05,1886.25
412,0,F,0,N,N,43,Y,Y,Fiber optic,Y,Y,Y,Y,Y,Y,Year-2,N,Credit_card_auto,115.05,4895.1
413,0,F,1,Y,N,5,Y,N,Fiber optic,N,N,N,N,N,N,Per_month,Y,Check_electron,69.35,341.6
416,0,M,0,N,N,71,Y,N,N,No_internet,No_internet,No_internet,No_internet,No_internet,No_internet,Year-2,Y,Credit_card_auto,19.9,1355.1
417,1,F,0,Y,Y,38,Y,N,DSL,Y,Y,N,Y,Y,Y,Year-1,N,Credit_card_auto,80.3,3058.65
418,1,M,1,Y,N,24,Y,N,Fiber optic,N,N,Y,N,Y,Y,Per_month,Y,Check_electron,93.15,2231.05
425,0,F,0,Y,N,52,Y,Y,Fiber optic,N,Y,N,Y,Y,Y,Per_month,Y,Credit_card_auto,102.7,5138.1
427,1,F,1,N,N,2,Y,N,Fiber optic,N,N,N,N,N,N,Per_month,Y,Check_electron,70.35,139.05
428,0,F,1,Y,Y,28,N,No_phone,DSL,N,N,N,N,Y,N,Per_month,Y,Check_electron,35.9,973.65
430,0,F,0,Y,Y,35,Y,N,N,No_internet,No_internet,No_internet,No_internet,No_internet,No_internet,Year-2,Y,Check_mailed,19.85,739.35
431,0,F,0,N,N,8,Y,N,N,No_internet,No_internet,No_internet,No_internet,No_internet,No_internet,Year-1,Y,Check_mailed,19.2,161.95
432,0,M,0,N,N,46,Y,Y,Fiber optic,N,Y,Y,N,Y,N,Year-1,Y,Credit_card_auto,94.9,4422.95
433,1,F,0,N,N,7,Y,Y,Fiber optic,N,N,N,N,N,N,Per_month,Y,Check_electron,73.85,511.25
434,1,F,0,N,N,2,Y,Y,Fiber optic,N,N,Y,N,N,N,Per_month,N,Check_mailed,80.6,155.8
436,1,F,0,N,N,43,Y,Y,Fiber optic,N,Y,Y,N,Y,Y,Year-2,Y,Check_electron,104.6,4759.85
438,0,F,0,N,N,36,Y,N,Fiber optic,N,Y,N,N,Y,Y,Per_month,Y,Credit_card_auto,94.8,3565.65
439,1,M,0,Y,N,63,Y,Y,Fiber optic,N,Y,Y,N,Y,Y,Per_month,Y,Check_electron,103.4,6603
445,0,F,1,N,N,1,Y,Y,Fiber optic,N,N,N,N,N,N,Per_month,Y,Check_electron,72.1,72.1
446,1,F,0,N,N,2,Y,N,Fiber optic,N,N,N,N,Y,Y,Per_month,Y,Check_electron,90.4,168.2
447,0,F,0,Y,N,70,Y,N,N,No_internet,No_internet,No_internet,No_internet,No_internet,No_internet,Year-2,N,Bank_transfer_auto,19.45,1303.5
448,0,F,0,N,N,23,N,No_phone,DSL,N,N,N,N,Y,Y,Per_month,Y,Check_electron,44.95,996.85
449,0,F,1,Y,N,64,Y,N,Fiber optic,Y,Y,Y,N,N,Y,Year-1,N,Bank_transfer_auto,97.0,6430.9
450,0,M,0,Y,Y,37,Y,Y,DSL,Y,N,Y,Y,N,N,Year-2,Y,Credit_card_auto,62.8,2278.75
452,0,F,1,N,N,7,Y,N,Fiber optic,N,N,N,N,Y,Y,Per_month,Y,Check_electron,89.15,574.35
455,1,F,0,N,N,10,Y,N,Fiber optic,N,N,N,N,N,Y,Per_month,Y,Bank_transfer_auto,80.25,846
456,0,F,1,N,N,16,Y,Y,DSL,Y,N,N,N,N,N,Per_month,Y,Check_electron,54.1,889
457,0,M,0,Y,N,64,Y,Y,Fiber optic,N,Y,N,Y,Y,Y,Year-2,Y,Check_electron,105.25,6823.4
458,1,M,1,Y,N,27,N,No_phone,DSL,Y,N,N,N,N,N,Per_month,N,Credit_card_auto,30.75,805.1
460,0,M,0,N,Y,5,Y,N,N,No_internet,No_internet,No_internet,No_internet,No_internet,No_internet,Per_month,N,Check_mailed,20.2,83.75
462,0,M,0,Y,N,58,Y,N,DSL,N,N,Y,N,N,N,Year-1,N,Credit_card_auto,50.3,2878.55
466,0,M,0,Y,N,23,Y,N,DSL,Y,N,N,N,N,Y,Per_month,Y,Bank_transfer_auto,59.95,1406
467,0,F,0,N,N,1,Y,N,N,No_internet,No_internet,No_internet,No_internet,No_internet,No_internet,Per_month,N,Check_mailed,19.15,19.15
468,0,M,0,Y,N,71,Y,Y,Fiber optic,N,N,Y,N,Y,Y,Year-1,Y,Credit_card_auto,98.65,6962.85
470,0,M,0,Y,Y,33,Y,N,N,No_internet,No_internet,No_internet,No_internet,No_internet,No_internet,Year-1,N,Check_mailed,20.6,690.25
471,1,M,0,N,N,2,Y,Y,Fiber optic,N,N,N,N,Y,N,Per_month,Y,Check_electron,85.65,181.5
472,0,M,0,N,Y,24,N,No_phone,DSL,Y,N,N,Y,N,N,Year-2,N,Check_mailed,35.75,830.8
473,0,F,0,Y,Y,56,Y,Y,Fiber optic,N,Y,Y,Y,N,Y,Year-1,Y,Credit_card_auto,99.75,5608.4
474,0,M,0,N,N,37,Y,N,Fiber optic,N,Y,N,N,Y,Y,Per_month,Y,Credit_card_auto,96.1,3646.8
477,1,F,0,Y,N,25,Y,Y,Fiber optic,N,N,Y,Y,Y,Y,Per_month,Y,Bank_transfer_auto,104.95,2566.5
478,0,F,0,N,N,61,Y,Y,DSL,Y,Y,Y,Y,Y,Y,Year-2,N,Check_electron,89.65,5308.7
482,0,M,1,Y,Y,72,N,No_phone,DSL,Y,Y,Y,Y,Y,Y,Year-2,Y,Bank_transfer_auto,64.8,4732.35
484,0,M,0,N,N,48,Y,Y,Fiber optic,N,Y,Y,N,Y,Y,Year-2,Y,Bank_transfer_auto,108.1,5067.45
